City,Country,Latitude,Longitude
Portland,United States,45.523449,-122.676208
San Francisco,United States,37.774929,-122.419418
Seattle,United States,47.606209,-122.332069
Los Angeles,United States,34.052231,-118.243683
San Diego,United States,32.715328,-117.157257
Las Vegas,United States,36.174969,-115.137222
Phoenix,United States,33.44838,-112.074043
Albuquerque,United States,35.084492,-106.651138
Denver,United States,39.739151,-104.984703
San Antonio,United States,29.42412,-98.493629
Dallas,United States,32.783058,-96.806671
Houston,United States,29.763281,-95.363274
Kansas City,United States,39.099731,-94.578568
Minneapolis,United States,44.979969,-93.26384
Saint Louis,United States,38.62727,-90.197891
Chicago,United States,41.850029,-87.650047
Nashville,United States,36.16589,-86.784439
Indianapolis,United States,39.768379,-86.158043
Atlanta,United States,33.749001,-84.387978
Detroit,United States,42.331429,-83.045753
Jacksonville,United States,30.33218,-81.655647
Charlotte,United States,35.227089,-80.843132
Miami,United States,25.774269,-80.193657
Pittsburgh,United States,40.44062,-79.995888
Philadelphia,United States,39.952339,-75.163788
New York,United States,40.714272,-74.005966
Boston,United States,42.358429,-71.059769
